profile_id,station_name,source_file,station_id,subset_index,report_datetime_utc,seq,fxy,name,value,value_text,unit,kind,scale,reference,nbits
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,772,033195,QMWN     ON29 QUALITY MARK FOR WIND,,,CODE TABLE,code,0,0,4
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,773,011001,Wind direction,300,,degree true,numeric,0,0,9
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,774,011002,Wind speed,14.0,,m/s,numeric,1,0,12
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,775,031000,Short delayed descriptor replication factor,0,,Numeric,numeric,0,0,1
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,776,031000,Short delayed descriptor replication factor,1,,Numeric,numeric,0,0,1
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,777,033218,QMST     ON29 QUALITY MARK FOR SEA SURFACE TEMPERATURE,,,CODE TABLE,code,0,0,4
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,778,022043,Sea/water temperature,,,K,numeric,2,0,15
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,779,002013,Solar and infrared radiation correction,5,,Code table,numeric,0,0,4
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,780,002014,Tracking technique/status of system used,3,,Code table,numeric,0,0,7
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,781,004210,UALNHR   RADIOSONDE LAUNCH HOUR,11,,HOUR,numeric,0,0,5
