profile_id,layer_index,base_idx,top_idx,base_height_m,top_height_m,base_height_agl_m,top_height_agl_m,base_pressure_hpa,top_pressure_hpa,base_temperature_c,top_temperature_c,depth_m,delta_t_c,mean_gradient_c_100m,position_type,embedded_gap_count,embedded_gap_depth_total_m,method
31004_19991114_1200_12,0,4,5,1715.2,1935.5,1035.2,1255.5,832.0,810.0,-23.899999999999977,-23.299999999999983,220.29999999999995,0.5999999999999943,0.27235587834770514,HE,0,0.0,gap_v3
31004_19991114_1200_12,1,6,7,2615.7,2834.7,1935.6999999999998,2154.7,745.0,725.0,-26.49999999999997,-25.69999999999999,219.0,0.799999999999983,0.36529680365296024,HE,0,0.0,gap_v3
31004_19991114_1200_12,2,9,10,3276.2,3498.6,2596.2,2818.6,686.0,667.0,-26.299999999999983,-25.299999999999983,222.4000000000001,1.0,0.449640287769784,HE,0,0.0,gap_v3
31004_19991114_1200_12,3,11,12,5250.8,5448.5,4570.8,4768.5,500.0,518.0,-37.69999999999999,-35.89999999999998,197.69999999999982,1.8000000000000114,0.9104704097116909,HE,0,0.0,gap_v3
31004_19991117_1200_12,0,3,4,2729.3,2805.1,2049.3,2125.1,700.0,713.0,-25.69999999999999,-24.69999999999999,75.79999999999973,1.0,1.3192612137203215,HE,0,0.0,gap_v3
31004_19991021_1200_12,0,3,5,1260.1,2139.9,580.0999999999999,1459.9,879.0,790.0,-19.49999999999997,-14.699999999999989,879.8000000000002,4.799999999999983,0.5455785405774018,HE,0,0.0,gap_v3
31004_19991118_1200_12,0,0,1,680.0,809.2,0.0,129.20000000000005,920.0,906.0,-18.69999999999999,-18.09999999999997,129.20000000000005,0.6000000000000192,0.46439628482973605,G,0,0.0,gap_v3
31004_19991020_1200_12,0,0,2,680.0,1038.0,0.0,358.0,935.0,896.0,-21.69999999999999,-19.299999999999983,358.0,2.4000000000000057,0.6703910614525156,G,0,0.0,gap_v3
31004_19991020_1200_12,1,6,7,2162.1,2383.5,1482.1,1703.5,782.0,761.0,-24.49999999999997,-23.299999999999983,221.4000000000001,1.1999999999999886,0.5420054200541952,HE,0,0.0,gap_v3
31004_19991116_1200_12,0,5,6,1914.9,2340.9,1234.9,1660.9,806.0,765.0,-16.299999999999955,-14.699999999999989,426.0,1.599999999999966,0.3755868544600859,HE,0,0.0,gap_v3
