position_type,n_layers,n_profiles,n_eligible,frequency_percent,median_base_agl_m,median_top_agl_m,median_depth_m,median_delta_t_c,median_gamma_c_100m,q25_depth_m,q75_depth_m,q25_delta_t_c,q75_delta_t_c
G,6641,6641,17991,36.91290089489189,0.0,218.79999999999995,218.60000000000002,2.8000000000000096,1.205424409844302,134.79999999999995,361.9000000000001,1.1999999999999886,5.4000000000000075
E,532,532,17991,2.9570340725918514,118.90000000000003,406.75,284.2999999999999,1.6000000000000192,0.5412720992991498,168.00000000000003,526.35,0.8000000000000025,3.1999999999999904
HE,12823,9530,17991,52.970929909399146,2035.3000000000002,2208.3,243.79999999999973,1.2000000000000135,0.5252587671867729,130.59999999999945,404.54999999999995,0.6000000000000227,2.200000000000017
