profile_id,datetime_utc,date,year,month,cycle,season,gamma_local_c_100m,z_mid_agl_m,dz_m,dt_c
31004_20020317_0000_00,2002-03-17 00:00:00,2002-03-17,2002,3,00,MAM,-17.582417582417165,4.5499999999999545,9.100000000000023,-1.599999999999966
31004_20020326_1200_12,2002-03-26 12:00:00,2002-03-26,2002,3,12,MAM,-15.111111111111136,4489.45,22.5,-3.4000000000000057
31004_20020423_1200_12,2002-04-23 12:00:00,2002-04-23,2002,4,12,MAM,66.6666666666597,2205.8500000000004,0.900000000000091,0.5999999999999979
31004_20020709_1200_12,2002-07-09 12:00:00,2002-07-09,2002,7,12,JJA,-15.002508780732539,595.75,199.30000000000018,-29.899999999999977
31004_20021004_1200_12,2002-10-04 12:00:00,2002-10-04,2002,10,12,SON,18.181818181818063,2342.6000000000004,4.400000000000091,0.8000000000000114
31004_20021013_0000_00,2002-10-13 00:00:00,2002-10-13,2002,10,00,SON,-15.000000000000036,4592.8,16.0,-2.4000000000000057
31004_20021022_0000_00,2002-10-22 00:00:00,2002-10-22,2002,10,00,SON,34.7826086956532,136.35000000000002,2.2999999999999545,0.8000000000000078
31004_20021022_0000_00,2002-10-22 00:00:00,2002-10-22,2002,10,00,SON,-21.538461538461625,4627.55,6.5,-1.4000000000000057
31004_20021030_0000_00,2002-10-30 00:00:00,2002-10-30,2002,10,00,SON,-27.586206896551193,2309.8500000000004,2.900000000000091,-0.8000000000000096
31004_20021031_0000_00,2002-10-31 00:00:00,2002-10-31,2002,10,00,SON,50.000000000021316,789.0999999999999,0.3999999999998636,0.20000000000001705
31004_20021208_0000_00,2002-12-08 00:00:00,2002-12-08,2002,12,00,DJF,-17.391304347826154,346.5,9.199999999999932,-1.5999999999999943
31004_20021209_0000_00,2002-12-09 00:00:00,2002-12-09,2002,12,00,DJF,26.993865030674428,2117.25,16.300000000000182,4.399999999999981
31004_20021216_1200_12,2002-12-16 12:00:00,2002-12-16,2002,12,12,DJF,-88.88888888887959,2067.4,1.800000000000182,-1.5999999999999943
31004_20021221_1200_12,2002-12-21 12:00:00,2002-12-21,2002,12,12,DJF,32.758620689654244,4476.5,11.600000000000364,3.8000000000000114
31004_20021224_1200_12,2002-12-24 12:00:00,2002-12-24,2002,12,12,DJF,17.679558011049462,4529.75,18.100000000000364,3.200000000000017
31004_20021226_1200_12,2002-12-26 12:00:00,2002-12-26,2002,12,12,DJF,-444.4444444446241,4460.25,0.8999999999996362,-4.0
31004_20021231_1200_12,2002-12-31 12:00:00,2002-12-31,2002,12,12,DJF,-21.87499999999939,2167.2,6.400000000000091,-1.3999999999999808
31004_20030101_0000_00,2003-01-01 00:00:00,2003-01-01,2003,1,00,DJF,38.709677419356524,2181.95,3.099999999999909,1.200000000000017
31004_20030117_0000_00,2003-01-17 00:00:00,2003-01-17,2003,1,00,DJF,-47.7611940298523,4467.35,6.699999999999818,-3.200000000000017
31004_20030121_0000_00,2003-01-21 00:00:00,2003-01-21,2003,1,00,DJF,61.538461538451614,638.75,1.300000000000182,0.799999999999983
31004_20030313_0000_00,2003-03-13 00:00:00,2003-03-13,2003,3,00,MAM,-16.326530612244827,2260.8500000000004,4.900000000000091,-0.8000000000000114
31004_20030811_0000_00,2003-08-11 00:00:00,2003-08-11,2003,8,00,JJA,15.17857142857208,2242.4,11.199999999999818,1.7000000000000455
31004_20030820_0000_00,2003-08-20 00:00:00,2003-08-20,2003,8,00,JJA,-23.52941176470244,4859.4,3.4000000000005457,-0.8000000000000114
31004_20031003_0000_00,2003-10-03 00:00:00,2003-10-03,2003,10,00,SON,20.93023255813874,4785.3,8.600000000000364,1.8000000000000078
31004_20031101_0000_00,2003-11-01 00:00:00,2003-11-01,2003,11,00,SON,24.99999999999985,2152.6000000000004,2.400000000000091,0.6000000000000192
31004_20031114_0000_00,2003-11-14 00:00:00,2003-11-14,2003,11,00,SON,-33.898305084742624,4577.85,5.900000000000546,-2.0
31004_20031119_0000_00,2003-11-19 00:00:00,2003-11-19,2003,11,00,SON,-61.538461538451614,2118.65,1.300000000000182,-0.799999999999983
31004_20031119_0000_00,2003-11-19 00:00:00,2003-11-19,2003,11,00,SON,-24.299065420559042,4435.25,10.700000000000728,-2.5999999999999943
31004_20031204_0000_00,2003-12-04 00:00:00,2003-12-04,2003,12,00,DJF,40.54054054054254,4434.3,7.399999999999636,3.0
31004_20031205_0000_00,2003-12-05 00:00:00,2003-12-05,2003,12,00,DJF,-17.112299465240746,4461.35,18.699999999999818,-3.1999999999999886
31004_20031227_0000_00,2003-12-27 00:00:00,2003-12-27,2003,12,00,DJF,-17.32283464566821,4404.25,12.700000000000728,-2.1999999999999886
31004_20040112_0000_00,2004-01-12 00:00:00,2004-01-12,2004,1,00,DJF,-33.64485981308463,4455.35,10.699999999999818,-3.5999999999999943
31004_20040201_0000_00,2004-02-01 00:00:00,2004-02-01,2004,2,00,DJF,74.41860465115938,4582.950000000001,4.300000000000182,3.1999999999999886
31004_20040203_0000_00,2004-02-03 00:00:00,2004-02-03,2004,2,00,DJF,22.222222222222438,4508.799999999999,16.199999999999818,3.5999999999999943
31004_20040227_0000_00,2004-02-27 00:00:00,2004-02-27,2004,2,00,DJF,-19.35483870967701,4281.2,18.600000000000364,-3.5999999999999943
31004_20040331_0000_00,2004-03-31 00:00:00,2004-03-31,2004,3,00,MAM,-57.14285714285908,2264.3500000000004,2.099999999999909,-1.1999999999999886
31004_20040712_0000_00,2004-07-12 00:00:00,2004-07-12,2004,7,00,JJA,199.9999999997442,2447.3,0.20000000000027285,0.4000000000000341
31004_20041103_0000_00,2004-11-03 00:00:00,2004-11-03,2004,11,00,SON,100.00000000008616,2234.5,0.1999999999998181,0.1999999999999904
31004_20041110_0000_00,2004-11-10 00:00:00,2004-11-10,2004,11,00,SON,15.873015873016561,2187.45,6.299999999999727,1.0
31004_20041119_0000_00,2004-11-19 00:00:00,2004-11-19,2004,11,00,SON,-57.14285714285424,2178.6000000000004,1.400000000000091,-0.8000000000000114
31004_20041227_0000_00,2004-12-27 00:00:00,2004-12-27,2004,12,00,DJF,44.11764705882235,2113.9,6.800000000000182,3.0
31004_20050112_1200_12,2005-01-12 12:00:00,2005-01-12,2005,1,12,DJF,-19.157088122605764,3862.8500000000004,26.099999999999454,-5.0
31004_20050118_1200_12,2005-01-18 12:00:00,2005-01-18,2005,1,12,DJF,-149.99999999996447,744.2,0.40000000000009095,-0.5999999999999943
31004_20050129_1200_12,2005-01-29 12:00:00,2005-01-29,2005,1,12,DJF,233.33333333319223,2172.0,0.6000000000003638,1.4000000000000021
31004_20050204_1200_12,2005-02-04 12:00:00,2005-02-04,2005,2,12,DJF,15.189873417721515,761.45,7.900000000000091,1.2000000000000135
31004_20050206_0000_00,2005-02-06 00:00:00,2005-02-06,2005,2,00,DJF,-17.486338797814128,4591.65,18.300000000000182,-3.200000000000017
