year,month,n_profiles,median_850,q25_850,q75_850,n_850,median_700,q25_700,q75_700,n_700,median_500,q25_500,q75_500,n_500
1999,10,21,-0.4852896572641778,-0.6202424584155669,-0.07469375560203166,21,-0.35360349881356823,-0.5796288505585927,-0.21107695131464205,21,-0.4250889216621843,-0.5655701243406982,-0.3868892366544951,21
1999,11,18,-0.24829489105616998,-0.4132348749736142,-0.19165617919497296,18,-0.24536599703791556,-0.32340153290203083,-0.16750975914235122,18,-0.40389366399447857,-0.4582363883268015,-0.3276085822760651,18
1999,12,19,0.05887547836326253,-0.3322981662331842,1.1790611071859256,19,-0.01861071046387222,-0.41543049735843657,0.20050276413403234,19,-0.306264919155069,-0.4745008885192649,-0.20987096669309818,19
2000,1,21,0.5004609508758044,0.3016177680285155,0.971699259079315,21,0.07549662624451442,-0.09219563914626837,0.19632590099565222,21,-0.21774390650343242,-0.3838685919610779,-0.17861810577677067,21
2000,2,28,-0.08521751880556205,-0.4320958399179615,0.43298251161453805,28,-0.13092970756843927,-0.20298154678543762,0.037374376092876936,28,-0.3419602237251471,-0.39884488553332886,-0.27366899684789364,28
2000,3,21,-0.2502345949327441,-0.6066120715802243,-0.029877502240811232,21,-0.39626926980138155,-0.4790306673554697,-0.2711167204225673,21,-0.4954984847479368,-0.509811677324368,-0.43042571793664647,21
2000,4,18,-0.6812632552079695,-0.7325865499097317,-0.5425774719463301,18,-0.6468103127942353,-0.7677140015264952,-0.562624777138609,18,-0.62214832520991,-0.6745913745219565,-0.5742148421574549,18
2000,5,37,-0.8385177170678912,-0.92834348709022,-0.70482097547223,37,-0.7745419137824201,-0.8342797239451369,-0.7246376811594207,37,-0.7153164296021437,-0.7445843616191021,-0.6880066514238203,37
2000,6,31,-0.7612066535100132,-0.9136746500154449,-0.6352162001634294,31,-0.7831786839192976,-0.8683068017366139,-0.6388821317059896,31,-0.6508742935259432,-0.7272756338322277,-0.5767994230491329,31
2000,7,28,-0.7344880630665228,-0.8816968332105591,-0.5212677231025855,28,-0.7063118646163968,-0.7767246181769523,-0.6392765607966706,28,-0.6262339721478458,-0.659168091684118,-0.5821330714511666,28
2000,8,27,-0.5480757774335784,-0.7140415153278197,-0.34386658126256664,27,-0.5561550593508771,-0.6533667774861356,-0.4790416646559051,27,-0.5896635449184884,-0.6199200991872158,-0.5536549109359638,27
2000,9,28,-0.43170051215870475,-0.6793343700220891,-0.2664786652291925,28,-0.504403160156448,-0.6155717419646782,-0.3739176588812662,28,-0.5682117327646468,-0.6192806503365514,-0.4777875897173462,28
