profile_id,datetime_utc,year,month,cycle,position_type,base_height_agl_m,top_height_agl_m,depth_m,delta_t_c,gamma_c_per_100m,mean_gradient_c_100m,season,eligible
31004_19991120_1200_12,1999-11-20 12:00:00,1999,11,12,G,0.0,137.10000000000002,137.10000000000002,6.0,4.3763676148796495,,SON,True
31004_19991121_1200_12,1999-11-21 12:00:00,1999,11,12,G,0.0,136.79999999999995,136.79999999999995,6.400000000000006,4.678362573099421,,SON,True
31004_19991122_1200_12,1999-11-22 12:00:00,1999,11,12,G,0.0,604.4000000000001,604.4000000000001,5.599999999999994,0.9265387160820637,,SON,True
31004_19991123_1200_12,1999-11-23 12:00:00,1999,11,12,HE,624.2,1554.8000000000002,930.6000000000001,4.200000000000017,0.4513217279174744,,SON,True
31004_19991123_1200_12,1999-11-23 12:00:00,1999,11,12,HE,1785.6,2129.3,343.7000000000003,0.799999999999983,0.23276112889146996,,SON,True
31004_19991124_1200_12,1999-11-24 12:00:00,1999,11,12,G,0.0,119.60000000000002,119.60000000000002,0.6000000000000192,0.5016722408026916,,SON,True
31004_19991124_1200_12,1999-11-24 12:00:00,1999,11,12,HE,1057.4,1288.8,231.39999999999986,0.4000000000000057,0.17286084701815294,,SON,True
31004_19991124_1200_12,1999-11-24 12:00:00,1999,11,12,HE,1515.1999999999998,1736.1,220.9000000000001,0.5999999999999943,0.2716161158895401,,SON,True
31004_19991125_1200_12,1999-11-25 12:00:00,1999,11,12,G,0.0,137.10000000000002,137.10000000000002,3.4000000000000057,2.4799416484318053,,SON,True
31004_19991125_1200_12,1999-11-25 12:00:00,1999,11,12,HE,1524.0,2427.8,903.8000000000002,4.399999999999977,0.4868333702146466,,SON,True
31004_19991125_1200_12,1999-11-25 12:00:00,1999,11,12,HE,4370.6,4433.4,62.79999999999927,3.1999999999999886,5.095541401273926,,SON,True
31004_19991126_1200_12,1999-11-26 12:00:00,1999,11,12,HE,4390.6,4405.0,14.399999999999636,3.0,20.833333333333858,,SON,True
31004_19991127_1200_12,1999-11-27 12:00:00,1999,11,12,G,0.0,137.10000000000002,137.10000000000002,1.1999999999999886,0.8752735229759215,,SON,True
31004_19991128_1200_12,1999-11-28 12:00:00,1999,11,12,HE,2159.0,2387.6,228.5999999999999,0.8000000000000114,0.34995625546807163,,SON,True
31004_19991128_1200_12,1999-11-28 12:00:00,1999,11,12,HE,4390.6,4806.4,415.7999999999993,0.4000000000000057,0.09620009620009773,,SON,True
31004_19991129_1200_12,1999-11-29 12:00:00,1999,11,12,HE,1522.1999999999998,1974.3000000000002,452.10000000000036,1.8000000000000114,0.39814200398142224,,SON,True
31004_19991129_1200_12,1999-11-29 12:00:00,1999,11,12,HE,3080.1,3304.5,224.4000000000001,0.5999999999999943,0.2673796791443824,,SON,True
31004_19991130_1200_12,1999-11-30 12:00:00,1999,11,12,G,0.0,136.79999999999995,136.79999999999995,1.1999999999999922,0.877192982456135,,SON,True
31004_19991201_1200_12,1999-12-01 12:00:00,1999,12,12,HE,616.7,1539.3000000000002,922.6000000000001,2.5999999999999943,0.28181226967266354,,DJF,True
31004_19991201_1200_12,1999-12-01 12:00:00,1999,12,12,HE,2119.3,2227.2,107.89999999999964,0.5999999999999943,0.5560704355885044,,DJF,True
31004_19991202_1200_12,1999-12-02 12:00:00,1999,12,12,HE,1029.9,1466.6,436.6999999999998,0.8000000000000114,0.18319212273872493,,DJF,True
31004_19991203_1200_12,1999-12-03 12:00:00,1999,12,12,HE,2796.9,3012.9,216.0,0.7999999999999865,0.37037037037036413,,DJF,True
31004_19991204_1200_12,1999-12-04 12:00:00,1999,12,12,HE,2575.8,2788.7,212.89999999999964,1.0,0.4697040864255527,,DJF,True
31004_19991204_1200_12,1999-12-04 12:00:00,1999,12,12,HE,3006.4,3229.1,222.69999999999982,0.4000000000000057,0.1796138302649331,,DJF,True
31004_19991208_1200_12,1999-12-08 12:00:00,1999,12,12,HE,592.4000000000001,817.5,225.0999999999999,1.0,0.4442470013327412,,DJF,True
31004_19991209_1200_12,1999-12-09 12:00:00,1999,12,12,G,0.0,1078.3,1078.3,10.200000000000017,0.9459334137067623,,DJF,True
31004_19991209_1200_12,1999-12-09 12:00:00,1999,12,12,HE,4350.6,4464.0,113.39999999999964,3.0,2.645502645502654,,DJF,True
31004_19991210_1200_12,1999-12-10 12:00:00,1999,12,12,G,0.0,144.89999999999998,144.89999999999998,2.8000000000000114,1.9323671497584622,,DJF,True
31004_19991210_1200_12,1999-12-10 12:00:00,1999,12,12,HE,872.0999999999999,2032.3000000000002,1160.2000000000003,6.199999999999989,0.5343906223064978,,DJF,True
31004_19991210_1200_12,1999-12-10 12:00:00,1999,12,12,HE,4320.5,4323.9,3.399999999999636,3.8000000000000114,111.76470588236523,,DJF,True
31004_19991211_1200_12,1999-12-11 12:00:00,1999,12,12,G,0.0,2109.3,2109.3,11.800000000000011,0.5594272981557867,,DJF,True
31004_19991212_1200_12,1999-12-12 12:00:00,1999,12,12,G,0.0,1301.8,1301.8,18.0,1.3827008757105546,,DJF,True
31004_19991224_1200_12,1999-12-24 12:00:00,1999,12,12,G,0.0,358.4000000000001,358.4000000000001,8.400000000000007,2.3437500000000018,,DJF,True
31004_19991226_1200_12,1999-12-26 12:00:00,1999,12,12,G,0.0,136.20000000000005,136.20000000000005,2.6000000000000227,1.908957415565361,,DJF,True
31004_19991226_1200_12,1999-12-26 12:00:00,1999,12,12,HE,3890.7,4106.5,215.80000000000018,0.4000000000000057,0.18535681186283845,,DJF,True
31004_19991227_1200_12,1999-12-27 12:00:00,1999,12,12,G,0.0,136.70000000000005,136.70000000000005,9.400000000000006,6.876371616678861,,DJF,True
