profile_id,station_name,source_file,station_id,subset_index,report_datetime_utc,seq,fxy,name,value,value_text,unit,kind,scale,reference,nbits
31004_19991002_1200_12,Aldan,gdex_data\raw\1999\gdas.adpupa.t12z.19991002.bufr,31004,1,1999-10-02T12:00:00,29,058006,BULTIM   BULLETIN TIME (DDHHMM),b'021200  ',,CCITT IA5,numeric,0,0,64
31004_19991002_1200_12,Aldan,gdex_data\raw\1999\gdas.adpupa.t12z.19991002.bufr,31004,1,1999-10-02T12:00:00,30,058007,BBB      WMO BBB INDICATOR,b'        ',,CCITT IA5,numeric,0,0,64
31004_19991002_1200_12,Aldan,gdex_data\raw\1999\gdas.adpupa.t12z.19991002.bufr,31004,1,1999-10-02T12:00:00,31,002195,SEQNUM   LDM CHANNEL SEQUENCE NUMBER,b'000 ',,CCITT IA5,numeric,0,0,32
31004_19991002_1200_12,Aldan,gdex_data\raw\1999\gdas.adpupa.t12z.19991002.bufr,31004,1,1999-10-02T12:00:00,32,001194,BUHD     BULLETIN HEADER,b'USRA04  ',,CCITT IA5,numeric,0,0,64
31004_19991002_1200_12,Aldan,gdex_data\raw\1999\gdas.adpupa.t12z.19991002.bufr,31004,1,1999-10-02T12:00:00,33,001063,ICAO location indicator,b'RUHB    ',,CCITT IA5,numeric,0,0,64
31004_19991002_1200_12,Aldan,gdex_data\raw\1999\gdas.adpupa.t12z.19991002.bufr,31004,1,1999-10-02T12:00:00,34,058006,BULTIM   BULLETIN TIME (DDHHMM),b'021200  ',,CCITT IA5,numeric,0,0,64
31004_19991002_1200_12,Aldan,gdex_data\raw\1999\gdas.adpupa.t12z.19991002.bufr,31004,1,1999-10-02T12:00:00,35,058007,BBB      WMO BBB INDICATOR,b'        ',,CCITT IA5,numeric,0,0,64
31004_19991002_1200_12,Aldan,gdex_data\raw\1999\gdas.adpupa.t12z.19991002.bufr,31004,1,1999-10-02T12:00:00,36,002195,SEQNUM   LDM CHANNEL SEQUENCE NUMBER,b'000 ',,CCITT IA5,numeric,0,0,32
31004_19991002_1200_12,Aldan,gdex_data\raw\1999\gdas.adpupa.t12z.19991002.bufr,31004,1,1999-10-02T12:00:00,37,001194,BUHD     BULLETIN HEADER,b'UERA04  ',,CCITT IA5,numeric,0,0,64
31004_19991002_1200_12,Aldan,gdex_data\raw\1999\gdas.adpupa.t12z.19991002.bufr,31004,1,1999-10-02T12:00:00,38,001063,ICAO location indicator,b'RUHB    ',,CCITT IA5,numeric,0,0,64
31004_19991002_1200_12,Aldan,gdex_data\raw\1999\gdas.adpupa.t12z.19991002.bufr,31004,1,1999-10-02T12:00:00,39,058006,BULTIM   BULLETIN TIME (DDHHMM),b'021200  ',,CCITT IA5,numeric,0,0,64
31004_19991002_1200_12,Aldan,gdex_data\raw\1999\gdas.adpupa.t12z.19991002.bufr,31004,1,1999-10-02T12:00:00,40,058007,BBB      WMO BBB INDICATOR,b'        ',,CCITT IA5,numeric,0,0,64
31004_19991002_1200_12,Aldan,gdex_data\raw\1999\gdas.adpupa.t12z.19991002.bufr,31004,1,1999-10-02T12:00:00,41,001198,RPID     REPORT IDENTIFIER,b'31004   ',,CCITT IA5,numeric,0,0,64
31004_19991002_1200_12,Aldan,gdex_data\raw\1999\gdas.adpupa.t12z.19991002.bufr,31004,1,1999-10-02T12:00:00,42,005002,Latitude (coarse accuracy),58.62,,deg,numeric,2,-9000,15
31004_19991002_1200_12,Aldan,gdex_data\raw\1999\gdas.adpupa.t12z.19991002.bufr,31004,1,1999-10-02T12:00:00,43,006002,Longitude (coarse accuracy),125.37,,deg,numeric,2,-18000,16
31004_19991002_1200_12,Aldan,gdex_data\raw\1999\gdas.adpupa.t12z.19991002.bufr,31004,1,1999-10-02T12:00:00,44,007001,Height of station,680,,m,numeric,0,-400,15
31004_19991002_1200_12,Aldan,gdex_data\raw\1999\gdas.adpupa.t12z.19991002.bufr,31004,1,1999-10-02T12:00:00,45,031001,Delayed descriptor replication factor,3,,Numeric,numeric,0,0,8
31004_19991002_1200_12,Aldan,gdex_data\raw\1999\gdas.adpupa.t12z.19991002.bufr,31004,1,1999-10-02T12:00:00,46,002011,Radiosonde type,27,,Code table,numeric,0,0,8
31004_19991002_1200_12,Aldan,gdex_data\raw\1999\gdas.adpupa.t12z.19991002.bufr,31004,1,1999-10-02T12:00:00,47,002003,Type of measuring equipment used,3,,Code table,numeric,0,0,4
31004_19991002_1200_12,Aldan,gdex_data\raw\1999\gdas.adpupa.t12z.19991002.bufr,31004,1,1999-10-02T12:00:00,48,033215,CORN     CORRECTED REPORT INDICATOR,0,,CODE TABLE,code,0,0,3
31004_19991002_1200_12,Aldan,gdex_data\raw\1999\gdas.adpupa.t12z.19991002.bufr,31004,1,1999-10-02T12:00:00,49,001192,UAPART   RADIOSONDE PART NAME,b'TTBB',,CCITT IA5,numeric,0,0,32
31004_19991002_1200_12,Aldan,gdex_data\raw\1999\gdas.adpupa.t12z.19991002.bufr,31004,1,1999-10-02T12:00:00,50,002011,Radiosonde type,27,,Code table,numeric,0,0,8
31004_19991002_1200_12,Aldan,gdex_data\raw\1999\gdas.adpupa.t12z.19991002.bufr,31004,1,1999-10-02T12:00:00,51,002003,Type of measuring equipment used,,,Code table,numeric,0,0,4
31004_19991002_1200_12,Aldan,gdex_data\raw\1999\gdas.adpupa.t12z.19991002.bufr,31004,1,1999-10-02T12:00:00,52,033215,CORN     CORRECTED REPORT INDICATOR,0,,CODE TABLE,code,0,0,3
31004_19991002_1200_12,Aldan,gdex_data\raw\1999\gdas.adpupa.t12z.19991002.bufr,31004,1,1999-10-02T12:00:00,53,001192,UAPART   RADIOSONDE PART NAME,b'TTAA',,CCITT IA5,numeric,0,0,32
31004_19991002_1200_12,Aldan,gdex_data\raw\1999\gdas.adpupa.t12z.19991002.bufr,31004,1,1999-10-02T12:00:00,54,002011,Radiosonde type,27,,Code table,numeric,0,0,8
