station_id,station_name,datetime_utc,year,month,cycle,profile_id,subset_index,latitude_deg,longitude_deg,data_status,data_status_reason,level_index,SEQ,VSIG,vertical_significance_code,replication_index,PRES,pressure_hpa,GEOPOT,geopotential_m2s2,FLVL,geopotential_height_m,height_m,AIR,air_temperature_c,temperature_c,DEW-,dew_point_temperature_c,REL,relative_humidity_percent,WIND,wind_direction_deg,WIND.1,wind_speed,source_file,qc_flag
31004,Aldan,1999-10-02T12:00:00,1999,10,12,31004_19991002_1200_12,1,58.62,125.37,OK,,0,1,SFC,64,0,935.0,935.0,,,563.4,563.4,563.4,-3.099999999999966,-3.099999999999966,-3.099999999999966,-6.0,-6.0,80.4,80.4,,,,,gdex_data\raw\1999\gdas.adpupa.t12z.19991002.bufr,
31004,Aldan,1999-10-02T12:00:00,1999,10,12,31004_19991002_1200_12,1,58.62,125.37,OK,,1,25,MANL,32,24,925.0,925.0,7448.0,7448.0,759.5,759.5,759.5,-3.6999999999999886,-3.6999999999999886,-3.6999999999999886,-6.0,-6.0,84.1,84.1,,,,,gdex_data\raw\1999\gdas.adpupa.t12z.19991002.bufr,
31004,Aldan,1999-10-02T12:00:00,1999,10,12,31004_19991002_1200_12,1,58.62,125.37,OK,,2,2,TXPR,4,1,921.0,921.0,,,688.8,688.8,688.8,-3.8999999999999773,-3.8999999999999773,-3.8999999999999773,-6.0,-6.0,85.3,85.3,,,,,gdex_data\raw\1999\gdas.adpupa.t12z.19991002.bufr,
31004,Aldan,1999-10-02T12:00:00,1999,10,12,31004_19991002_1200_12,1,58.62,125.37,OK,,3,26,MANL,32,25,850.0,850.0,13916.0,13916.0,1419.0,1419.0,1419.0,-8.699999999999989,-8.699999999999989,-8.699999999999989,-9.899999999999977,-9.899999999999977,91.0,91.0,300.0,300.0,16.0,16.0,gdex_data\raw\1999\gdas.adpupa.t12z.19991002.bufr,
31004,Aldan,1999-10-02T12:00:00,1999,10,12,31004_19991002_1200_12,1,58.62,125.37,OK,,4,3,TXPR,4,2,729.0,729.0,,,2587.9,2587.9,2587.9,-16.69999999999999,-16.69999999999999,-16.69999999999999,-17.899999999999977,-17.899999999999977,90.4,90.4,,,,,gdex_data\raw\1999\gdas.adpupa.t12z.19991002.bufr,
31004,Aldan,1999-10-02T12:00:00,1999,10,12,31004_19991002_1200_12,1,58.62,125.37,OK,,5,27,MANL,32,26,700.0,700.0,28420.0,28420.0,2898.0,2898.0,2898.0,-18.899999999999977,-18.899999999999977,-18.899999999999977,-19.899999999999977,-19.899999999999977,91.8,91.8,300.0,300.0,17.0,17.0,gdex_data\raw\1999\gdas.adpupa.t12z.19991002.bufr,
31004,Aldan,1999-10-02T12:00:00,1999,10,12,31004_19991002_1200_12,1,58.62,125.37,OK,,6,4,TXPR,4,3,603.0,603.0,,,4068.3,4068.3,4068.3,-26.099999999999966,-26.099999999999966,-26.099999999999966,-27.399999999999977,-27.399999999999977,88.8,88.8,,,,,gdex_data\raw\1999\gdas.adpupa.t12z.19991002.bufr,
31004,Aldan,1999-10-02T12:00:00,1999,10,12,31004_19991002_1200_12,1,58.62,125.37,OK,,7,5,TXPR,4,4,539.0,539.0,,,4918.9,4918.9,4918.9,-29.69999999999999,-29.69999999999999,-29.69999999999999,-31.99999999999997,-31.99999999999997,80.4,80.4,,,,,gdex_data\raw\1999\gdas.adpupa.t12z.19991002.bufr,
31004,Aldan,1999-10-02T12:00:00,1999,10,12,31004_19991002_1200_12,1,58.62,125.37,OK,,8,28,MANL,32,27,500.0,500.0,52332.0,52332.0,5336.4,5336.4,5336.4,-33.69999999999999,-33.69999999999999,-33.69999999999999,-35.39999999999998,-35.39999999999998,84.6,84.6,310.0,310.0,25.0,25.0,gdex_data\raw\1999\gdas.adpupa.t12z.19991002.bufr,
