count,month,bin_left,bin_right,bin_center
663,0,0.0,100.0,50.0
1797,0,100.0,250.0,175.0
1300,0,250.0,500.0,375.0
951,0,500.0,1000.0,750.0
3076,0,1000.0,2000.0,1500.0
2651,0,2000.0,4000.0,3000.0
