profile_id,year,month,cycle,pressure_hpa,height_agl_m,gamma_c_per_100m
31004_19991116_1200_12,1999,11,12,500.0,4640.8,-0.5873954721599023
31004_19991117_1200_12,1999,11,12,750.0,1718.4510948905108,-0.4516171880188624
31004_19991117_1200_12,1999,11,12,500.0,4420.6,-0.598827647282081
31004_19991118_1200_12,1999,11,12,750.0,1692.2873239436622,-0.5235936402528567
31004_19991118_1200_12,1999,11,12,500.0,4350.6,-0.6039212350614548
31004_19991119_1200_12,1999,11,12,750.0,1714.0206896551722,-0.5197376562306649
31004_19991119_1200_12,1999,11,12,500.0,4230.5,-0.5395365292764899
31004_19991120_1200_12,1999,11,12,850.0,639.4000000000001,0.3935716628402764
31004_19991120_1200_12,1999,11,12,750.0,1763.613725490196,-0.021976143675145266
31004_19991120_1200_12,1999,11,12,500.0,4360.6,-0.39294409088967736
31004_19991121_1200_12,1999,11,12,850.0,659.4000000000001,0.3607740242702506
31004_19991121_1200_12,1999,11,12,750.0,1762.5727272727272,-0.1779989946353066
31004_19991121_1200_12,1999,11,12,500.0,4410.6,-0.5188619061795597
31004_19991122_1200_12,1999,11,12,850.0,679.4000000000001,0.4919645785503443
31004_19991122_1200_12,1999,11,12,750.0,1782.6928571428575,-0.16638504217893116
31004_19991122_1200_12,1999,11,12,500.0,4390.6,-0.5514151553009092
31004_19991123_1200_12,1999,11,12,850.0,749.4000000000001,-0.16952025767079162
31004_19991123_1200_12,1999,11,12,750.0,1928.306451612903,0.28566659643573583
31004_19991123_1200_12,1999,11,12,500.0,4460.7,-0.6433902376254612
31004_19991124_1200_12,1999,11,12,850.0,729.4000000000001,-0.4263693014103016
31004_19991124_1200_12,1999,11,12,750.0,1810.267741935484,0.031038383138996272
31004_19991124_1200_12,1999,11,12,500.0,4480.7,-0.49970356568137475
31004_19991125_1200_12,1999,11,12,850.0,639.4000000000001,-0.4919645785503443
31004_19991125_1200_12,1999,11,12,750.0,1680.0534246575344,-0.41096413344092275
31004_19991125_1200_12,1999,11,12,500.0,4370.6,-0.5613915706205073
31004_19991126_1200_12,1999,11,12,850.0,639.4000000000001,-0.19678583142013995
31004_19991126_1200_12,1999,11,12,750.0,1761.863768115942,-0.12911555842479014
31004_19991126_1200_12,1999,11,12,500.0,4390.6,-0.6039212350614561
31004_19991127_1200_12,1999,11,12,850.0,649.4000000000001,-0.2904162633107426
31004_19991127_1200_12,1999,11,12,750.0,1654.6092783505155,-0.2518837437554685
31004_19991127_1200_12,1999,11,12,500.0,4390.6,-0.5662076952773125
31004_19991128_1200_12,1999,11,12,750.0,1726.855421686747,-0.4168247998895951
31004_19991128_1200_12,1999,11,12,500.0,4390.6,-0.4891831484839537
31004_19991129_1200_12,1999,11,12,850.0,649.4000000000001,-0.6887504099704802
31004_19991129_1200_12,1999,11,12,750.0,1780.542857142857,-0.1566052033341757
31004_19991129_1200_12,1999,11,12,500.0,4390.6,-0.6464508995024024
31004_19991130_1200_12,1999,11,12,850.0,659.4000000000001,-0.41949015811552015
31004_19991130_1200_12,1999,11,12,750.0,1765.5962962962963,-0.4084734810310946
31004_19991130_1200_12,1999,11,12,500.0,4370.6,-0.5147342684339209
31004_19991201_1200_12,1999,12,12,850.0,739.4000000000001,-0.06667777962993866
31004_19991201_1200_12,1999,12,12,750.0,1900.5697674418602,0.06969715783802562
31004_19991201_1200_12,1999,12,12,500.0,4460.7,-0.512513880584266
31004_19991202_1200_12,1999,12,12,850.0,739.4000000000001,-0.03125976867771056
31004_19991202_1200_12,1999,12,12,750.0,1764.939534883721,-0.13560644198629554
31004_19991202_1200_12,1999,12,12,500.0,4580.8,-0.6412658754944817
31004_19991203_1200_12,1999,12,12,850.0,739.4000000000001,-0.7502344482650848
31004_19991203_1200_12,1999,12,12,750.0,1848.75,-0.2974714923153202
31004_19991203_1200_12,1999,12,12,500.0,4550.7,-0.5185247135569114
31004_19991204_1200_12,1999,12,12,850.0,679.4000000000001,-0.7814942169427949
31004_19991204_1200_12,1999,12,12,750.0,1660.2349593495937,-0.40135043396741027
31004_19991204_1200_12,1999,12,12,500.0,4510.7,-0.4312847308617403
31004_19991205_1200_12,1999,12,12,750.0,1710.3185185185184,-0.5595750273216497
31004_19991205_1200_12,1999,12,12,500.0,4440.6,-0.4955276529626679
31004_19991206_1200_12,1999,12,12,850.0,629.4000000000001,-0.5401970130282859
31004_19991206_1200_12,1999,12,12,750.0,1668.2333333333331,-0.385047328734156
31004_19991206_1200_12,1999,12,12,500.0,4440.6,-0.7000379538649684
31004_19991207_1200_12,1999,12,12,750.0,1630.5500000000002,-0.6179723825071243
31004_19991207_1200_12,1999,12,12,500.0,4420.6,-0.6831695694344879
31004_19991208_1200_12,1999,12,12,750.0,1726.4467289719628,-0.31023058130584713
31004_19991208_1200_12,1999,12,12,500.0,4360.6,-0.6406697134070815
31004_19991209_1200_12,1999,12,12,850.0,639.4000000000001,1.2337445815271717
31004_19991209_1200_12,1999,12,12,750.0,1626.3338983050849,-0.08483730643269312
31004_19991209_1200_12,1999,12,12,500.0,4350.6,-0.6461896351182527
31004_19991210_1200_12,1999,12,12,850.0,679.4000000000001,-0.31045187995860835
31004_19991210_1200_12,1999,12,12,750.0,1851.9692307692308,0.48939213036461665
31004_19991210_1200_12,1999,12,12,500.0,4320.5,-0.5698755041206383
31004_19991211_1200_12,1999,12,12,850.0,719.4000000000001,0.6207966890843238
31004_19991211_1200_12,1999,12,12,750.0,1646.0,0.28779048852435446
31004_19991211_1200_12,1999,12,12,500.0,4440.6,-0.6948912623857928
