bin_left,bin_right,bin_center,month,pressure_hpa,days
-4.0,-3.0,-3.5,11,500.0,0
-3.0,-2.0,-2.5,11,500.0,0
-2.0,-1.5,-1.75,11,500.0,0
-1.5,-1.0,-1.25,11,500.0,0
-1.0,-0.5,-0.75,11,500.0,1102
-0.5,0.0,-0.25,11,500.0,375
0.0,0.5,0.25,11,500.0,0
0.5,1.0,0.75,11,500.0,0
1.0,1.5,1.25,11,500.0,0
1.5,2.0,1.75,11,500.0,0
2.0,3.0,2.5,11,500.0,0
3.0,4.0,3.5,11,500.0,0
4.0,6.0,5.0,11,500.0,0
6.0,8.0,7.0,11,500.0,0
8.0,12.0,10.0,11,500.0,0
12.0,20.0,16.0,11,500.0,0
20.0,inf,20.0,11,500.0,0
-inf,-20.0,-20.0,11,750.0,0
-20.0,-12.0,-16.0,11,750.0,0
-12.0,-8.0,-10.0,11,750.0,0
-8.0,-6.0,-7.0,11,750.0,0
-6.0,-4.0,-5.0,11,750.0,0
-4.0,-3.0,-3.5,11,750.0,0
-3.0,-2.0,-2.5,11,750.0,0
-2.0,-1.5,-1.75,11,750.0,0
-1.5,-1.0,-1.25,11,750.0,0
-1.0,-0.5,-0.75,11,750.0,310
-0.5,0.0,-0.25,11,750.0,857
0.0,0.5,0.25,11,750.0,274
0.5,1.0,0.75,11,750.0,29
1.0,1.5,1.25,11,750.0,6
1.5,2.0,1.75,11,750.0,1
2.0,3.0,2.5,11,750.0,0
3.0,4.0,3.5,11,750.0,0
4.0,6.0,5.0,11,750.0,0
6.0,8.0,7.0,11,750.0,0
8.0,12.0,10.0,11,750.0,0
12.0,20.0,16.0,11,750.0,0
20.0,inf,20.0,11,750.0,0
-inf,-20.0,-20.0,11,850.0,0
-20.0,-12.0,-16.0,11,850.0,0
-12.0,-8.0,-10.0,11,850.0,0
-8.0,-6.0,-7.0,11,850.0,0
-6.0,-4.0,-5.0,11,850.0,0
-4.0,-3.0,-3.5,11,850.0,0
-3.0,-2.0,-2.5,11,850.0,0
-2.0,-1.5,-1.75,11,850.0,0
-1.5,-1.0,-1.25,11,850.0,2
-1.0,-0.5,-0.75,11,850.0,394
-0.5,0.0,-0.25,11,850.0,424
0.0,0.5,0.25,11,850.0,295
0.5,1.0,0.75,11,850.0,134
1.0,1.5,1.25,11,850.0,47
1.5,2.0,1.75,11,850.0,19
2.0,3.0,2.5,11,850.0,6
3.0,4.0,3.5,11,850.0,0
4.0,6.0,5.0,11,850.0,0
6.0,8.0,7.0,11,850.0,0
8.0,12.0,10.0,11,850.0,0
12.0,20.0,16.0,11,850.0,0
20.0,inf,20.0,11,850.0,0
-inf,-20.0,-20.0,12,500.0,0
-20.0,-12.0,-16.0,12,500.0,0
-12.0,-8.0,-10.0,12,500.0,0
-8.0,-6.0,-7.0,12,500.0,0
-6.0,-4.0,-5.0,12,500.0,0
-4.0,-3.0,-3.5,12,500.0,0
-3.0,-2.0,-2.5,12,500.0,0
-2.0,-1.5,-1.75,12,500.0,0
-1.5,-1.0,-1.25,12,500.0,0
-1.0,-0.5,-0.75,12,500.0,1057
-0.5,0.0,-0.25,12,500.0,468
0.0,0.5,0.25,12,500.0,0
0.5,1.0,0.75,12,500.0,0
1.0,1.5,1.25,12,500.0,0
1.5,2.0,1.75,12,500.0,0
2.0,3.0,2.5,12,500.0,0
3.0,4.0,3.5,12,500.0,0
4.0,6.0,5.0,12,500.0,0
6.0,8.0,7.0,12,500.0,0
8.0,12.0,10.0,12,500.0,0
12.0,20.0,16.0,12,500.0,0
20.0,inf,20.0,12,500.0,0
-inf,-20.0,-20.0,12,750.0,0
-20.0,-12.0,-16.0,12,750.0,0
-12.0,-8.0,-10.0,12,750.0,0
-8.0,-6.0,-7.0,12,750.0,0
-6.0,-4.0,-5.0,12,750.0,0
-4.0,-3.0,-3.5,12,750.0,0
-3.0,-2.0,-2.5,12,750.0,0
-2.0,-1.5,-1.75,12,750.0,0
-1.5,-1.0,-1.25,12,750.0,0
-1.0,-0.5,-0.75,12,750.0,182
-0.5,0.0,-0.25,12,750.0,758
0.0,0.5,0.25,12,750.0,504
0.5,1.0,0.75,12,750.0,74
1.0,1.5,1.25,12,750.0,7
1.5,2.0,1.75,12,750.0,0
2.0,3.0,2.5,12,750.0,0
3.0,4.0,3.5,12,750.0,0
4.0,6.0,5.0,12,750.0,0
6.0,8.0,7.0,12,750.0,0
8.0,12.0,10.0,12,750.0,0
12.0,20.0,16.0,12,750.0,0
20.0,inf,20.0,12,750.0,0
-inf,-20.0,-20.0,12,850.0,0
-20.0,-12.0,-16.0,12,850.0,0
-12.0,-8.0,-10.0,12,850.0,0
-8.0,-6.0,-7.0,12,850.0,0
-6.0,-4.0,-5.0,12,850.0,0
-4.0,-3.0,-3.5,12,850.0,0
-3.0,-2.0,-2.5,12,850.0,0
-2.0,-1.5,-1.75,12,850.0,1
-1.5,-1.0,-1.25,12,850.0,0
-1.0,-0.5,-0.75,12,850.0,232
-0.5,0.0,-0.25,12,850.0,388
0.0,0.5,0.25,12,850.0,341
0.5,1.0,0.75,12,850.0,222
1.0,1.5,1.25,12,850.0,127
1.5,2.0,1.75,12,850.0,38
2.0,3.0,2.5,12,850.0,23
3.0,4.0,3.5,12,850.0,2
4.0,6.0,5.0,12,850.0,0
6.0,8.0,7.0,12,850.0,0
8.0,12.0,10.0,12,850.0,0
12.0,20.0,16.0,12,850.0,0
20.0,inf,20.0,12,850.0,0
