profile_id,year,month,cycle,has_G,has_E,has_HE
31004_20000320_1200_12,2000,3,12,True,False,False
31004_20000321_1200_12,2000,3,12,False,False,False
31004_20000413_1200_12,2000,4,12,False,False,False
31004_20000414_1200_12,2000,4,12,True,False,False
31004_20000415_1200_12,2000,4,12,False,False,False
31004_20000416_1200_12,2000,4,12,False,False,False
31004_20000417_1200_12,2000,4,12,False,False,False
31004_20000418_1200_12,2000,4,12,False,False,False
31004_20000419_1200_12,2000,4,12,True,False,False
31004_20000420_1200_12,2000,4,12,True,False,False
31004_20000421_1200_12,2000,4,12,False,False,True
31004_20000422_1200_12,2000,4,12,False,False,False
31004_20000423_1200_12,2000,4,12,False,False,True
31004_20000424_1200_12,2000,4,12,True,False,False
31004_20000425_1200_12,2000,4,12,False,False,False
31004_20000426_1200_12,2000,4,12,False,False,False
31004_20000427_1200_12,2000,4,12,False,False,True
31004_20000428_1200_12,2000,4,12,False,False,True
31004_20000429_1200_12,2000,4,12,False,False,True
31004_20000430_1200_12,2000,4,12,False,False,False
31004_20000501_1200_12,2000,5,12,True,False,False
31004_20000502_1200_12,2000,5,12,False,False,False
31004_20000503_1200_12,2000,5,12,False,False,False
31004_20000504_1200_12,2000,5,12,False,False,False
31004_20000505_0000_00,2000,5,00,False,False,True
31004_20000505_1200_12,2000,5,12,False,False,False
31004_20000506_1200_12,2000,5,12,False,False,True
31004_20000507_1200_12,2000,5,12,False,False,False
31004_20000508_1200_12,2000,5,12,False,False,False
31004_20000509_1200_12,2000,5,12,False,False,False
31004_20000510_1200_12,2000,5,12,False,False,False
31004_20000511_1200_12,2000,5,12,False,False,False
31004_20000512_0000_00,2000,5,00,False,False,False
31004_20000512_1200_12,2000,5,12,False,False,False
31004_20000513_1200_12,2000,5,12,False,False,True
31004_20000514_1200_12,2000,5,12,False,False,True
31004_20000515_1200_12,2000,5,12,False,False,True
31004_20000516_1200_12,2000,5,12,False,False,False
31004_20000517_1200_12,2000,5,12,False,False,False
31004_20000518_1200_12,2000,5,12,False,False,False
31004_20000519_0000_00,2000,5,00,False,False,False
31004_20000519_1200_12,2000,5,12,False,False,False
31004_20000520_1200_12,2000,5,12,False,False,False
31004_20000521_0000_00,2000,5,00,False,False,False
31004_20000521_1200_12,2000,5,12,False,True,False
31004_20000522_1200_12,2000,5,12,False,False,False
31004_20000523_1200_12,2000,5,12,False,False,False
31004_20000524_1200_12,2000,5,12,False,False,False
31004_20000525_1200_12,2000,5,12,False,False,True
31004_20000526_1200_12,2000,5,12,False,False,False
31004_20000527_1200_12,2000,5,12,False,False,False
31004_20000528_1200_12,2000,5,12,False,False,False
31004_20000529_1200_12,2000,5,12,False,False,False
31004_20000530_0000_00,2000,5,00,False,False,False
31004_20000530_1200_12,2000,5,12,False,False,False
31004_20000531_0000_00,2000,5,00,False,False,False
31004_20000531_1200_12,2000,5,12,False,False,False
31004_20000601_1200_12,2000,6,12,False,False,False
31004_20000602_1200_12,2000,6,12,False,False,False
31004_20000604_1200_12,2000,6,12,False,False,False
31004_20000605_0000_00,2000,6,00,False,False,False
31004_20000605_1200_12,2000,6,12,False,False,False
31004_20000606_1200_12,2000,6,12,False,False,True
31004_20000607_1200_12,2000,6,12,False,False,False
31004_20000608_1200_12,2000,6,12,True,False,False
31004_20000609_0000_00,2000,6,00,False,False,False
31004_20000609_1200_12,2000,6,12,True,False,False
31004_20000610_1200_12,2000,6,12,False,False,False
31004_20000611_1200_12,2000,6,12,False,False,False
31004_20000612_1200_12,2000,6,12,False,False,True
31004_20000613_1200_12,2000,6,12,False,False,False
31004_20000614_1200_12,2000,6,12,False,False,False
