profile_id,datetime_utc,year,month,cycle,layer_index,position_type,base_pressure_hpa,top_pressure_hpa,base_height_m,top_height_m,base_height_agl_m,top_height_agl_m,depth_m,delta_t_c,gamma_c_per_100m,confirm_drop_c,embedded_gap_count,embedded_gap_depth_total_m,method
31004_19991113_1200_12,1999-11-13 12:00:00,1999,11,12,1,HE,765.0,744.0,2418.7,2643.7,1738.6999999999998,1963.6999999999998,225.0,0.40000000000000213,0.17777777777777873,,0,0.0,height-primary gap-v3
31004_19991114_1200_12,1999-11-14 12:00:00,1999,11,12,0,HE,832.0,810.0,1715.2,1935.5,1035.2,1255.5,220.29999999999995,0.5999999999999943,0.27235587834770514,,0,0.0,height-primary gap-v3
31004_19991114_1200_12,1999-11-14 12:00:00,1999,11,12,1,HE,745.0,725.0,2615.7,2834.7,1935.6999999999998,2154.7,219.0,0.799999999999983,0.36529680365296024,,0,0.0,height-primary gap-v3
31004_19991114_1200_12,1999-11-14 12:00:00,1999,11,12,2,HE,686.0,667.0,3276.2,3498.6,2596.2,2818.6,222.4000000000001,1.0,0.449640287769784,,0,0.0,height-primary gap-v3
31004_19991114_1200_12,1999-11-14 12:00:00,1999,11,12,3,HE,500.0,518.0,5250.8,5448.5,4570.8,4768.5,197.69999999999982,1.8000000000000114,0.9104704097116909,,0,0.0,height-primary gap-v3
31004_19991115_1200_12,1999-11-15 12:00:00,1999,11,12,0,HE,500.0,506.0,5290.8,5648.4,4610.8,4968.4,357.59999999999945,0.5999999999999943,0.16778523489932753,,0,0.0,height-primary gap-v3
31004_19991116_1200_12,1999-11-16 12:00:00,1999,11,12,0,HE,806.0,765.0,1914.9,2340.9,1234.9,1660.9,426.0,1.599999999999966,0.3755868544600859,,0,0.0,height-primary gap-v3
31004_19991117_1200_12,1999-11-17 12:00:00,1999,11,12,0,HE,700.0,713.0,2729.3,2805.1,2049.3,2125.1,75.79999999999973,1.0,1.3192612137203215,,0,0.0,height-primary gap-v3
31004_19991118_1200_12,1999-11-18 12:00:00,1999,11,12,0,G,920.0,906.0,680.0,809.2,0.0,129.20000000000005,129.20000000000005,0.6000000000000192,0.46439628482973605,,0,0.0,height-primary gap-v3
31004_19991119_1200_12,1999-11-19 12:00:00,1999,11,12,0,G,923.0,908.0,680.0,818.0,0.0,138.0,138.0,5.599999999999998,4.057971014492752,,0,0.0,height-primary gap-v3
