profile_id,year,month,cycle,pressure_hpa,height_agl_m,gamma_c_per_100m
31004_19991117_1200_12,1999,11,12,500.0,4420.6,-0.598827647282081
31004_19991118_1200_12,1999,11,12,700.0,1999.3000000000002,-0.5957869352436347
31004_19991118_1200_12,1999,11,12,500.0,4350.6,-0.6039212350614548
31004_19991119_1200_12,1999,11,12,700.0,1969.3000000000002,-0.6423826556682978
31004_19991119_1200_12,1999,11,12,500.0,4230.5,-0.5395365292764899
31004_19991120_1200_12,1999,11,12,850.0,639.4000000000001,0.3935716628402764
31004_19991120_1200_12,1999,11,12,700.0,2019.3000000000002,-0.18841945068483182
31004_19991120_1200_12,1999,11,12,500.0,4360.6,-0.39294409088967736
31004_19991121_1200_12,1999,11,12,850.0,659.4000000000001,0.3607740242702506
31004_19991121_1200_12,1999,11,12,700.0,2059.3,-0.2571612258018426
31004_19991121_1200_12,1999,11,12,500.0,4410.6,-0.5188619061795597
31004_19991122_1200_12,1999,11,12,850.0,679.4000000000001,0.4919645785503443
31004_19991122_1200_12,1999,11,12,700.0,2069.3,-0.2734009640981356
31004_19991122_1200_12,1999,11,12,500.0,4390.6,-0.5514151553009092
31004_19991123_1200_12,1999,11,12,850.0,749.4000000000001,-0.16952025767079162
31004_19991123_1200_12,1999,11,12,700.0,2129.3,0.289876077976665
31004_19991123_1200_12,1999,11,12,500.0,4460.7,-0.6433902376254612
31004_19991124_1200_12,1999,11,12,850.0,729.4000000000001,-0.4263693014103016
31004_19991124_1200_12,1999,11,12,700.0,2119.3,-0.11511619540974129
31004_19991124_1200_12,1999,11,12,500.0,4480.7,-0.49970356568137475
31004_19991125_1200_12,1999,11,12,850.0,639.4000000000001,-0.4919645785503443
31004_19991125_1200_12,1999,11,12,700.0,2019.3000000000002,-0.10145662729183315
31004_19991125_1200_12,1999,11,12,500.0,4370.6,-0.5613915706205073
31004_19991126_1200_12,1999,11,12,850.0,639.4000000000001,-0.19678583142013995
31004_19991126_1200_12,1999,11,12,700.0,2039.3000000000002,-0.15715408243445878
31004_19991126_1200_12,1999,11,12,500.0,4390.6,-0.6039212350614561
31004_19991127_1200_12,1999,11,12,850.0,649.4000000000001,-0.2904162633107426
31004_19991127_1200_12,1999,11,12,700.0,2059.3,-0.34044967728207753
31004_19991127_1200_12,1999,11,12,500.0,4390.6,-0.5662076952773125
31004_19991128_1200_12,1999,11,12,700.0,2019.3000000000002,-0.41137669338250993
31004_19991128_1200_12,1999,11,12,500.0,4390.6,-0.4891831484839537
31004_19991129_1200_12,1999,11,12,850.0,649.4000000000001,-0.6887504099704802
31004_19991129_1200_12,1999,11,12,700.0,2039.3000000000002,-0.12950571983596024
31004_19991129_1200_12,1999,11,12,500.0,4390.6,-0.6464508995024024
