bin_left,bin_right,bin_center,month,days
-4.0,-3.0,-3.5,9,38
-3.0,-2.0,-2.5,9,107
-2.0,-1.5,-1.75,9,123
-1.5,-1.0,-1.25,9,627
-1.0,-0.5,-0.75,9,6870
-0.5,0.0,-0.25,9,3341
0.0,0.5,0.25,9,1578
0.5,1.0,0.75,9,466
1.0,1.5,1.25,9,273
1.5,2.0,1.75,9,211
2.0,3.0,2.5,9,274
3.0,4.0,3.5,9,74
4.0,6.0,5.0,9,51
6.0,8.0,7.0,9,22
8.0,12.0,10.0,9,17
12.0,20.0,16.0,9,18
20.0,inf,20.0,9,12
-inf,-20.0,-20.0,10,27
-20.0,-12.0,-16.0,10,15
-12.0,-8.0,-10.0,10,22
-8.0,-6.0,-7.0,10,26
-6.0,-4.0,-5.0,10,54
-4.0,-3.0,-3.5,10,48
-3.0,-2.0,-2.5,10,133
-2.0,-1.5,-1.75,10,210
-1.5,-1.0,-1.25,10,749
-1.0,-0.5,-0.75,10,5516
-0.5,0.0,-0.25,10,3718
0.0,0.5,0.25,10,1903
0.5,1.0,0.75,10,523
1.0,1.5,1.25,10,306
1.5,2.0,1.75,10,213
2.0,3.0,2.5,10,258
3.0,4.0,3.5,10,102
4.0,6.0,5.0,10,86
6.0,8.0,7.0,10,24
8.0,12.0,10.0,10,39
12.0,20.0,16.0,10,24
20.0,inf,20.0,10,26
-inf,-20.0,-20.0,11,30
-20.0,-12.0,-16.0,11,23
-12.0,-8.0,-10.0,11,23
-8.0,-6.0,-7.0,11,24
-6.0,-4.0,-5.0,11,65
-4.0,-3.0,-3.5,11,54
-3.0,-2.0,-2.5,11,146
-2.0,-1.5,-1.75,11,186
-1.5,-1.0,-1.25,11,669
-1.0,-0.5,-0.75,11,3668
-0.5,0.0,-0.25,11,3820
0.0,0.5,0.25,11,2423
0.5,1.0,0.75,11,652
1.0,1.5,1.25,11,423
1.5,2.0,1.75,11,290
2.0,3.0,2.5,11,441
3.0,4.0,3.5,11,180
4.0,6.0,5.0,11,156
6.0,8.0,7.0,11,45
8.0,12.0,10.0,11,52
12.0,20.0,16.0,11,42
20.0,inf,20.0,11,46
-inf,-20.0,-20.0,12,44
-20.0,-12.0,-16.0,12,32
-12.0,-8.0,-10.0,12,36
-8.0,-6.0,-7.0,12,21
-6.0,-4.0,-5.0,12,68
-4.0,-3.0,-3.5,12,57
-3.0,-2.0,-2.5,12,160
-2.0,-1.5,-1.75,12,193
-1.5,-1.0,-1.25,12,653
-1.0,-0.5,-0.75,12,3171
-0.5,0.0,-0.25,12,3903
0.0,0.5,0.25,12,2779
0.5,1.0,0.75,12,874
1.0,1.5,1.25,12,579
1.5,2.0,1.75,12,388
2.0,3.0,2.5,12,529
3.0,4.0,3.5,12,260
4.0,6.0,5.0,12,196
6.0,8.0,7.0,12,99
8.0,12.0,10.0,12,82
12.0,20.0,16.0,12,68
20.0,inf,20.0,12,62
