season,pressure_hpa,median,q25,q75,mean,count
DJF,500.0,-40.79999999999998,-43.69999999999999,-37.69999999999999,-40.5155515370705,4424
DJF,525.0,-38.77735344458705,-41.7215042372881,-35.591293352601134,-38.49748547806165,4424
DJF,550.0,-36.79951456310677,-39.827812587023104,-33.60292955892032,-36.56222927067531,4424
DJF,575.0,-34.954135338345836,-38.042539927150436,-31.73576963719617,-34.73848135677266,4424
DJF,600.0,-33.14779372674108,-36.34293381037565,-29.978048307930745,-33.02362474196996,4424
DJF,625.0,-31.5142424242424,-34.7752976190476,-28.38106369946915,-31.438788876401546,4424
DJF,650.0,-30.050055493895652,-33.319069166127974,-26.899999999999984,-29.985778284850557,4424
DJF,675.0,-28.744417900939624,-32.07629613825473,-25.521099508599487,-28.672687397649774,4424
DJF,700.0,-27.49999999999997,-30.899999999999977,-24.299999999999983,-27.496714262398516,4424
DJF,725.0,-26.7232589587559,-30.12254901960782,-23.233333333333306,-26.613931815495775,4424
DJF,750.0,-25.966666666666647,-29.44736842105261,-22.318645055970133,-25.865831567820535,4424
DJF,775.0,-25.49999999999997,-28.97359307359305,-21.569297305572544,-25.285341769865635,4424
DJF,800.0,-25.145350052246584,-28.72733516483514,-21.013331500824606,-24.87942988881191,4424
DJF,825.0,-24.8690476190476,-28.80673076923075,-20.48511904761903,-24.688641611242907,4424
DJF,850.0,-24.69999999999999,-29.09999999999997,-20.09999999999997,-24.637024959460575,4424
DJF,875.0,-24.633333333333315,-29.23141025641023,-19.952079002078978,-24.562589170446515,4424
DJF,900.0,-24.499999999999975,-29.18569504310343,-19.499999999999975,-24.414864946627304,4424
DJF,925.0,-25.69999999999999,-30.69999999999999,-20.299999999999983,-25.44574205822388,4057
MAM,500.0,-31.299999999999983,-37.099999999999966,-25.49999999999997,-31.347679788871762,4547
MAM,525.0,-29.113793103448266,-35.00496183206104,-23.198275862068947,-29.13817915605515,4547
MAM,550.0,-26.971698113207534,-33.006361746361726,-20.930334244271574,-27.047930529087388,4547
MAM,575.0,-25.042857142857116,-31.068266542404444,-18.925320512820484,-25.068077359332225,4547
