profile_id,year,month,gamma_c_per_100m
31004_19991001_1200_12,1999,10,-0.9124087591240874
31004_19991001_1200_12,1999,10,-0.7692307692307255
31004_19991001_1200_12,1999,10,-0.7258955341644261
31004_19991001_1200_12,1999,10,-0.6029684601113179
31004_19991001_1200_12,1999,10,-1.072386058981235
31004_19991001_1200_12,1999,10,-0.17789637536135383
31004_19991001_1200_12,1999,10,0.46816479400749084
31004_19991001_1200_12,1999,10,-0.4290311047550939
31004_19991001_1200_12,1999,10,-0.8490566037735858
31004_19991001_1200_12,1999,10,-0.9285051067780888
31004_19991002_1200_12,1999,10,-0.7537688442211339
31004_19991002_1200_12,1999,10,-0.42105263157892253
31004_19991002_1200_12,1999,10,-0.7839294463498303
31004_19991002_1200_12,1999,10,-0.6101746624971398
31004_19991002_1200_12,1999,10,-1.302545885139128
31004_19991002_1200_12,1999,10,-0.5410686105057482
31004_19991002_1200_12,1999,10,-0.4178757980266999
31004_19991002_1200_12,1999,10,-1.6044925792218259
31004_19991003_1200_12,1999,10,-0.5050505050504761
31004_19991003_1200_12,1999,10,-0.22675736961449977
31004_19991003_1200_12,1999,10,-0.5845942228335586
31004_19991003_1200_12,1999,10,-0.5859375000000009
31004_19991003_1200_12,1999,10,-1.2602394454946417
31004_19991003_1200_12,1999,10,-0.42498937526561914
31004_19991003_1200_12,1999,10,-0.4972650422675287
31004_19991004_1200_12,1999,10,-1.0204081632655415
31004_19991004_1200_12,1999,10,-0.5097706032285185
31004_19991004_1200_12,1999,10,-0.3738317757009399
31004_19991004_1200_12,1999,10,0.0914913083257038
31004_19991004_1200_12,1999,10,-0.7305936073059465
31004_19991004_1200_12,1999,10,-0.5000337860666245
31004_19991004_1200_12,1999,10,-0.3035822707953859
31004_19991004_1200_12,1999,10,-0.53228962818004
31004_19991004_1200_12,1999,10,-0.4680552305172008
31004_19991005_1200_12,1999,10,4.52261306532666
31004_19991005_1200_12,1999,10,2.8268551236748505
31004_19991005_1200_12,1999,10,-0.7417397167902858
31004_19991005_1200_12,1999,10,-0.5797101449275371
31004_19991005_1200_12,1999,10,0.5070292694169194
31004_19991005_1200_12,1999,10,-0.9467455621301868
31004_19991005_1200_12,1999,10,-0.371138521995416
31004_19991005_1200_12,1999,10,-0.9042467301792334
31004_19991006_1200_12,1999,10,3.378378378378376
31004_19991006_1200_12,1999,10,2.8484231943031104
31004_19991006_1200_12,1999,10,-0.652765185856748
31004_19991006_1200_12,1999,10,-0.47244094488189137
31004_19991006_1200_12,1999,10,-1.9204389574759657
31004_19991006_1200_12,1999,10,-0.2031230163767957
31004_19991006_1200_12,1999,10,-0.2872187649593078
31004_19991006_1200_12,1999,10,-0.18735362997658345
31004_19991006_1200_12,1999,10,-0.27485112230874714
31004_19991006_1200_12,1999,10,-0.6646466621053645
31004_19991007_1200_12,1999,10,-0.15564202334629465
31004_19991007_1200_12,1999,10,-0.5650781691467318
31004_19991007_1200_12,1999,10,-0.3343860300947448
31004_19991007_1200_12,1999,10,0.38628681796234143
31004_19991007_1200_12,1999,10,-0.3711066931742889
31004_19991007_1200_12,1999,10,-0.3713817586018606
31004_19991007_1200_12,1999,10,-0.5418326693227078
31004_19991007_1200_12,1999,10,0.0
31004_19991007_1200_12,1999,10,-0.9907997169143757
31004_19991008_1200_12,1999,10,1.0033444816053418
31004_19991008_1200_12,1999,10,-0.6298629121897061
31004_19991008_1200_12,1999,10,-0.7499999999999574
31004_19991008_1200_12,1999,10,-0.9388924252068802
31004_19991008_1200_12,1999,10,-0.6573341448569657
31004_19991008_1200_12,1999,10,-0.45814641595876815
31004_19991008_1200_12,1999,10,-0.38993955936829783
31004_19991008_1200_12,1999,10,-0.8295132067234201
31004_19991009_1200_12,1999,10,-0.31007751937987105
31004_19991009_1200_12,1999,10,-0.6857366771159873
31004_19991009_1200_12,1999,10,-0.6301197227473221
31004_19991009_1200_12,1999,10,-0.5636779989431012
31004_19991009_1200_12,1999,10,-0.34115138592751054
