year,1,2,3,4,5,6,7,8,9,10,11,12
1999,,,,,,,,,,23.809523809523807,50.0,31.57894736842105
2000,52.38095238095239,46.42857142857143,52.38095238095239,22.22222222222222,2.7027027027027026,6.451612903225806,10.714285714285714,14.814814814814813,32.142857142857146,22.58064516129032,13.333333333333334,13.333333333333334
2001,20.0,40.74074074074074,38.46153846153847,6.896551724137931,9.836065573770492,12.068965517241379,16.94915254237288,17.77777777777778,15.789473684210526,17.741935483870968,18.333333333333332,14.285714285714285
2002,16.39344262295082,22.22222222222222,37.03703703703704,27.27272727272727,4.918032786885246,8.771929824561402,15.555555555555555,37.704918032786885,13.559322033898304,6.451612903225806,16.666666666666664,22.58064516129032
2003,19.35483870967742,41.81818181818181,27.86885245901639,17.647058823529413,6.382978723404255,5.084745762711865,8.19672131147541,17.543859649122805,19.642857142857142,16.666666666666664,20.0,16.129032258064516
2004,13.333333333333334,38.46153846153847,23.333333333333332,6.896551724137931,3.225806451612903,14.285714285714285,6.666666666666667,12.903225806451612,17.857142857142858,31.03448275862069,0.0,21.875
2005,19.672131147540984,17.857142857142858,32.20338983050847,15.517241379310345,1.6666666666666667,8.928571428571429,9.523809523809524,15.254237288135593,38.333333333333336,20.33898305084746,36.206896551724135,20.689655172413794
2006,50.0,27.77777777777778,63.1578947368421,12.280701754385964,1.694915254237288,11.666666666666666,27.86885245901639,50.81967213114754,33.33333333333333,28.8135593220339,15.0,13.114754098360656
2007,24.193548387096776,53.57142857142857,52.459016393442624,29.72972972972973,15.254237288135593,8.333333333333332,12.903225806451612,21.666666666666668,31.666666666666664,16.129032258064516,18.333333333333332,30.508474576271187
2008,25.0,29.82456140350877,45.90163934426229,19.642857142857142,1.694915254237288,13.333333333333334,5.0,18.96551724137931,28.8135593220339,19.672131147540984,13.333333333333334,32.78688524590164
2009,34.42622950819672,37.735849056603776,44.26229508196721,15.254237288135593,6.666666666666667,3.4482758620689653,4.918032786885246,25.423728813559322,41.66666666666667,22.58064516129032,18.333333333333332,32.25806451612903
2010,20.33898305084746,33.92857142857143,43.54838709677419,15.0,0.0,13.559322033898304,5.0,24.193548387096776,16.666666666666664,32.25806451612903,26.666666666666668,33.87096774193548
2011,13.114754098360656,23.214285714285715,32.25806451612903,15.254237288135593,6.451612903225806,8.47457627118644,9.67741935483871,26.229508196721312,25.0,8.064516129032258,20.0,25.806451612903224
2012,22.58064516129032,36.206896551724135,51.61290322580645,15.0,4.838709677419355,16.94915254237288,16.94915254237288,32.78688524590164,36.666666666666664,6.557377049180328,32.758620689655174,26.229508196721312
2013,32.25806451612903,41.07142857142857,44.26229508196721,16.666666666666664,3.278688524590164,8.620689655172415,5.172413793103448,25.423728813559322,35.59322033898305,15.0,29.310344827586203,30.64516129032258
2014,33.89830508474576,44.642857142857146,54.83870967741935,45.76271186440678,4.918032786885246,11.864406779661017,23.333333333333332,40.0,27.586206896551722,29.508196721311474,25.0,20.967741935483872
2015,16.129032258064516,46.42857142857143,45.16129032258064,18.333333333333332,11.475409836065573,5.263157894736842,11.666666666666666,36.0655737704918,25.862068965517242,16.129032258064516,13.333333333333334,16.129032258064516
2016,13.333333333333334,22.413793103448278,29.508196721311474,22.033898305084744,0.0,6.779661016949152,8.19672131147541,23.333333333333332,25.423728813559322,8.064516129032258,30.0,18.333333333333332
2017,11.29032258064516,21.818181818181817,25.806451612903224,11.864406779661017,11.29032258064516,6.896551724137931,16.39344262295082,23.333333333333332,22.413793103448278,17.741935483870968,20.0,29.03225806451613
2018,22.58064516129032,43.63636363636363,41.935483870967744,28.333333333333332,19.35483870967742,11.666666666666666,9.67741935483871,25.806451612903224,31.666666666666664,12.903225806451612,20.0,16.129032258064516
2019,37.096774193548384,28.57142857142857,66.12903225806451,27.11864406779661,11.475409836065573,18.333333333333332,30.0,45.16129032258064,22.033898305084744,13.114754098360656,20.0,25.806451612903224
2020,24.193548387096776,14.035087719298245,29.508196721311474,13.333333333333334,13.114754098360656,10.16949152542373,5.0,19.35483870967742,41.66666666666667,22.58064516129032,13.793103448275861,22.58064516129032
2021,29.03225806451613,34.54545454545455,33.87096774193548,13.333333333333334,6.557377049180328,6.896551724137931,11.29032258064516,20.967741935483872,19.642857142857142,14.516129032258066,20.0,30.64516129032258
2022,35.483870967741936,16.071428571428573,44.26229508196721,18.64406779661017,6.451612903225806,8.620689655172415,12.903225806451612,25.806451612903224,18.96551724137931,4.838709677419355,21.666666666666668,17.741935483870968
2023,32.78688524590164,23.214285714285715,24.193548387096776,16.666666666666664,4.838709677419355,10.16949152542373,14.516129032258066,25.806451612903224,26.666666666666668,16.129032258064516,8.620689655172415,8.19672131147541
2024,26.229508196721312,24.137931034482758,17.741935483870968,13.333333333333334,4.918032786885246,6.779661016949152,11.29032258064516,17.741935483870968,10.0,11.29032258064516,13.333333333333334,11.29032258064516
2025,24.193548387096776,26.785714285714285,29.508196721311474,25.423728813559322,8.19672131147541,6.666666666666667,8.064516129032258,16.94915254237288,28.8135593220339,17.741935483870968,21.666666666666668,24.59016393442623
2026,11.76470588235294,20.0,30.64516129032258,25.862068965517242,10.0,8.620689655172415,5.263157894736842,,,,,
