profile_id,inversion_detected_v2,inversion_candidate_v2,inversion_quality_v2,inversion_delta_t_c_v2,n_inversion_layers_v3,has_G_v3,has_E_v3,has_HE_v3,pattern_v3,strongest_delta_t_c_v3,reason,score
31004_19991012_1200_12,False,False,none,nan,2,False,False,True,MULTI,1.4000000000000057,v2_no_v3_multi+pattern_multi,45
31004_19991016_1200_12,False,False,none,nan,2,False,False,True,MULTI,0.9999999999999716,v2_no_v3_multi+pattern_multi,45
31004_19991114_1200_12,False,False,none,nan,4,False,False,True,MULTI,1.8000000000000114,v2_no_v3_multi+pattern_multi,45
31004_19991123_1200_12,False,False,none,nan,2,False,False,True,MULTI,4.200000000000017,v2_no_v3_multi+pattern_multi,45
31004_19991128_1200_12,False,False,none,nan,2,False,False,True,MULTI,0.8000000000000114,v2_no_v3_multi+pattern_multi,45
31004_19991129_1200_12,False,False,none,nan,2,False,False,True,MULTI,1.8000000000000114,v2_no_v3_multi+pattern_multi,45
31004_19991201_1200_12,False,False,none,nan,2,False,False,True,MULTI,2.5999999999999943,v2_no_v3_multi+pattern_multi,45
31004_19991204_1200_12,False,False,none,nan,2,False,False,True,MULTI,1.0,v2_no_v3_multi+pattern_multi,45
31004_19991210_1200_12,False,True,rejected_no_lapse,2.800000000000012,3,True,False,True,MULTI,6.199999999999989,v2_no_v3_multi+pattern_multi,45
31004_20000129_1200_12,False,True,rejected_no_lapse,2.5999999999999943,3,True,False,True,MULTI,2.5999999999999943,v2_no_v3_multi+pattern_multi,45
31004_20000206_1200_12,False,False,none,nan,2,False,False,True,MULTI,11.400000000000032,v2_no_v3_multi+pattern_multi,45
31004_20000211_1200_12,False,False,none,nan,2,False,False,True,MULTI,3.799999999999983,v2_no_v3_multi+pattern_multi,45
31004_20000214_1200_12,False,True,rejected_no_lapse,0.3999999999999772,3,True,False,True,MULTI,3.1999999999999886,v2_no_v3_multi+pattern_multi,45
31004_20000215_1200_12,False,True,rejected_no_lapse,2.800000000000012,4,True,False,True,MULTI,3.0,v2_no_v3_multi+pattern_multi,45
31004_20000220_1200_12,False,False,none,nan,2,False,False,True,MULTI,2.799999999999983,v2_no_v3_multi+pattern_multi,45
31004_20000310_1200_12,False,False,none,nan,2,False,False,True,MULTI,2.3999999999999773,v2_no_v3_multi+pattern_multi,45
31004_20000421_1200_12,False,False,none,nan,3,False,False,True,MULTI,2.1999999999999886,v2_no_v3_multi+pattern_multi,45
31004_20000506_1200_12,False,False,none,nan,2,False,False,True,MULTI,1.8000000000000114,v2_no_v3_multi+pattern_multi,45
31004_20000622_1200_12,False,False,none,nan,2,False,False,True,MULTI,1.6000000000000227,v2_no_v3_multi+pattern_multi,45
31004_20001009_1200_12,False,False,none,nan,2,False,False,True,MULTI,2.1999999999999904,v2_no_v3_multi+pattern_multi,45
31004_20001030_1200_12,False,True,rejected_no_lapse,5.599999999999994,3,True,False,True,MULTI,5.599999999999998,v2_no_v3_multi+pattern_multi,45
31004_20001105_1200_12,False,False,none,nan,2,False,False,True,MULTI,1.0,v2_no_v3_multi+pattern_multi,45
31004_20001106_1200_12,False,False,none,nan,3,False,False,True,MULTI,1.1999999999999922,v2_no_v3_multi+pattern_multi,45
31004_20001107_1200_12,False,False,none,nan,2,False,False,True,MULTI,3.0,v2_no_v3_multi+pattern_multi,45
31004_20001108_1200_12,False,True,rejected_no_lapse,2.1999999999999886,4,True,False,True,MULTI,2.599999999999998,v2_no_v3_multi+pattern_multi,45
