obs_datetime,status,source_file
1999-11-14T12:00,both,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991114.bufr
1999-11-15T12:00,both,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991115.bufr
1999-11-16T12:00,both,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991116.bufr
1999-11-17T12:00,both,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991117.bufr
1999-11-18T12:00,both,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991118.bufr
1999-11-19T12:00,both,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991119.bufr
1999-11-20T12:00,both,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991120.bufr
1999-11-21T12:00,both,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991121.bufr
1999-11-22T12:00,both,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991122.bufr
1999-11-23T12:00,both,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991123.bufr
1999-11-24T12:00,both,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991124.bufr
1999-11-25T12:00,both,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991125.bufr
1999-11-26T12:00,both,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991126.bufr
1999-11-27T12:00,both,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991127.bufr
1999-11-28T12:00,both,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991128.bufr
1999-11-29T12:00,both,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991129.bufr
1999-11-30T12:00,both,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991130.bufr
1999-12-01T12:00,both,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991201.bufr
1999-12-02T12:00,both,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991202.bufr
1999-12-03T12:00,both,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991203.bufr
1999-12-04T12:00,both,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991204.bufr
1999-12-05T12:00,both,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991205.bufr
1999-12-06T12:00,both,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991206.bufr
1999-12-07T12:00,both,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991207.bufr
1999-12-08T12:00,both,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991208.bufr
1999-12-09T12:00,both,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991209.bufr
1999-12-10T12:00,both,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991210.bufr
1999-12-11T12:00,both,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991211.bufr
1999-12-12T12:00,both,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991212.bufr
1999-12-24T12:00,both,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991224.bufr
1999-12-25T12:00,both,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991225.bufr
1999-12-26T12:00,both,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991226.bufr
1999-12-27T12:00,both,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991227.bufr
1999-12-28T12:00,both,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991228.bufr
1999-12-29T12:00,both,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991229.bufr
1999-12-30T12:00,both,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991230.bufr
1999-12-31T12:00,both,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991231.bufr
2000-01-01T12:00,both,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\2000\gdas.adpupa.t12z.20000101.bufr
2000-01-02T12:00,both,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\2000\gdas.adpupa.t12z.20000102.bufr
2000-01-03T12:00,both,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\2000\gdas.adpupa.t12z.20000103.bufr
2000-01-04T12:00,both,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\2000\gdas.adpupa.t12z.20000104.bufr
2000-01-05T12:00,both,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\2000\gdas.adpupa.t12z.20000105.bufr
2000-01-06T12:00,both,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\2000\gdas.adpupa.t12z.20000106.bufr
2000-01-07T12:00,both,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\2000\gdas.adpupa.t12z.20000107.bufr
2000-01-08T12:00,both,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\2000\gdas.adpupa.t12z.20000108.bufr
2000-01-09T12:00,both,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\2000\gdas.adpupa.t12z.20000109.bufr
2000-01-10T12:00,both,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\2000\gdas.adpupa.t12z.20000110.bufr
2000-01-11T12:00,both,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\2000\gdas.adpupa.t12z.20000111.bufr
2000-01-12T12:00,both,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\2000\gdas.adpupa.t12z.20000112.bufr
2000-01-13T12:00,both,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\2000\gdas.adpupa.t12z.20000113.bufr
2000-01-14T12:00,both,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\2000\gdas.adpupa.t12z.20000114.bufr
2000-01-15T12:00,both,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\2000\gdas.adpupa.t12z.20000115.bufr
2000-01-16T12:00,both,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\2000\gdas.adpupa.t12z.20000116.bufr
2000-01-17T12:00,both,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\2000\gdas.adpupa.t12z.20000117.bufr
2000-01-18T12:00,both,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\2000\gdas.adpupa.t12z.20000118.bufr
2000-01-19T12:00,both,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\2000\gdas.adpupa.t12z.20000119.bufr
2000-01-20T12:00,both,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\2000\gdas.adpupa.t12z.20000120.bufr
2000-01-29T12:00,both,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\2000\gdas.adpupa.t12z.20000129.bufr
2000-01-30T12:00,both,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\2000\gdas.adpupa.t12z.20000130.bufr
2000-01-31T12:00,both,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\2000\gdas.adpupa.t12z.20000131.bufr
2000-02-01T12:00,both,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\2000\gdas.adpupa.t12z.20000201.bufr
2000-02-02T12:00,both,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\2000\gdas.adpupa.t12z.20000202.bufr
2000-02-03T12:00,both,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\2000\gdas.adpupa.t12z.20000203.bufr
2000-02-04T12:00,both,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\2000\gdas.adpupa.t12z.20000204.bufr
2000-02-05T12:00,both,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\2000\gdas.adpupa.t12z.20000205.bufr
2000-02-06T12:00,both,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\2000\gdas.adpupa.t12z.20000206.bufr
2000-02-07T12:00,both,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\2000\gdas.adpupa.t12z.20000207.bufr
2000-02-08T12:00,both,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\2000\gdas.adpupa.t12z.20000208.bufr
2000-02-09T12:00,both,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\2000\gdas.adpupa.t12z.20000209.bufr
2000-02-10T12:00,both,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\2000\gdas.adpupa.t12z.20000210.bufr
2000-02-11T12:00,both,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\2000\gdas.adpupa.t12z.20000211.bufr
2000-02-12T12:00,both,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\2000\gdas.adpupa.t12z.20000212.bufr
2000-02-13T12:00,both,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\2000\gdas.adpupa.t12z.20000213.bufr
2000-02-14T12:00,both,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\2000\gdas.adpupa.t12z.20000214.bufr
2000-02-15T12:00,both,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\2000\gdas.adpupa.t12z.20000215.bufr
2000-02-16T12:00,both,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\2000\gdas.adpupa.t12z.20000216.bufr
2000-02-17T12:00,both,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\2000\gdas.adpupa.t12z.20000217.bufr
