source_file,source_path,cycle,file_ymd,obs_datetime,subset_index,delayed
gdas.adpupa.t12z.19991119.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\1999\gdas.adpupa.t12z.19991119.bufr,12,19991119,1999-11-19T12:00:00,1,0
gdas.adpupa.t12z.19991120.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\1999\gdas.adpupa.t12z.19991120.bufr,12,19991120,1999-11-20T12:00:00,1,0
gdas.adpupa.t12z.19991121.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\1999\gdas.adpupa.t12z.19991121.bufr,12,19991121,1999-11-21T12:00:00,1,0
gdas.adpupa.t12z.19991122.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\1999\gdas.adpupa.t12z.19991122.bufr,12,19991122,1999-11-22T12:00:00,1,0
gdas.adpupa.t12z.19991123.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\1999\gdas.adpupa.t12z.19991123.bufr,12,19991123,1999-11-23T12:00:00,1,0
gdas.adpupa.t12z.19991124.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\1999\gdas.adpupa.t12z.19991124.bufr,12,19991124,1999-11-24T12:00:00,1,0
gdas.adpupa.t12z.19991125.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\1999\gdas.adpupa.t12z.19991125.bufr,12,19991125,1999-11-25T12:00:00,1,0
gdas.adpupa.t12z.19991126.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\1999\gdas.adpupa.t12z.19991126.bufr,12,19991126,1999-11-26T12:00:00,1,0
gdas.adpupa.t12z.19991127.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\1999\gdas.adpupa.t12z.19991127.bufr,12,19991127,1999-11-27T12:00:00,1,0
gdas.adpupa.t12z.19991128.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\1999\gdas.adpupa.t12z.19991128.bufr,12,19991128,1999-11-28T12:00:00,1,0
gdas.adpupa.t12z.19991129.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\1999\gdas.adpupa.t12z.19991129.bufr,12,19991129,1999-11-29T12:00:00,1,0
gdas.adpupa.t12z.19991130.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\1999\gdas.adpupa.t12z.19991130.bufr,12,19991130,1999-11-30T12:00:00,1,0
gdas.adpupa.t12z.19991201.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\1999\gdas.adpupa.t12z.19991201.bufr,12,19991201,1999-12-01T12:00:00,2,0
gdas.adpupa.t12z.19991202.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\1999\gdas.adpupa.t12z.19991202.bufr,12,19991202,1999-12-02T12:00:00,2,0
