month,position_type,median,q25,q75,n
1,G,0.0,0.0,0.0,855
1,E,154.85000000000002,95.60000000000002,205.70000000000002,82
1,HE,1546.4,787.0,2529.6,1627
2,G,0.0,0.0,0.0,826
2,E,170.29999999999995,119.60000000000002,214.70000000000005,33
2,HE,1630.1,851.8499999999999,2831.15,1406
3,G,0.0,0.0,0.0,874
3,E,146.60000000000002,93.5,221.89999999999998,29
3,HE,2124.3,1296.2,4440.6,1029
4,G,0.0,0.0,0.0,406
4,E,62.5,54.0,89.60000000000002,29
4,HE,2215.3,1648.3250000000003,4480.7,886
5,G,0.0,0.0,0.0,140
5,E,83.0,55.97500000000002,155.85,32
5,HE,2336.4,1563.1000000000001,3646.5499999999997,751
6,G,0.0,0.0,0.0,192
6,E,85.85000000000002,41.85000000000002,178.35000000000002,38
6,HE,2407.5,1557.1999999999998,3216.6,513
7,G,0.0,0.0,0.0,273
7,E,86.60000000000002,56.60000000000002,127.5,53
7,HE,2200.3,1258.9,3170.55,543
8,G,0.0,0.0,0.0,548
8,E,71.60000000000002,50.60000000000002,145.75,51
8,HE,2210.55,1374.1999999999998,3083.025,656
9,G,0.0,0.0,0.0,593
9,E,101.65000000000003,66.82500000000002,161.27500000000003,38
9,HE,2186.4,1380.8000000000002,3088.2,803
10,G,0.0,0.0,0.0,467
10,E,91.10000000000002,51.60000000000002,172.5,33
10,HE,2097.3,1269.9499999999998,3103.2,1255
11,G,0.0,0.0,0.0,660
11,E,137.95,71.60000000000002,191.45000000000002,50
11,HE,1703.25,825.2750000000001,2786.35,1550
12,G,0.0,0.0,0.0,807
12,E,136.10000000000002,85.45000000000002,192.8,64
12,HE,1578.1999999999998,719.125,2699.775,1804
